text;sentiment
bicaranya aman aman aman pedulilindungi gitu dalihnya sblm public launching juta data bocor ;negative
selamat siang data ektp status vaksin langsung terhubung aplikasi peduli lindungi data pengguna aman kepentingan boarding penumpang bersangkutan ;positive
kasitau data peduli lindungi aman dituduh ngehack anything anggap ngasal ;positive
kalo dibawah aman kalo diatas booster kalo scan pedulilindungi kuningg ;positive
catet kasian gapunya printer wkwk nitip temen enak yaudah paperless barcode tersimpan kode rahasia langsung hape jaga pohon pastikan sinyal tsel provider aman wakakaka peduli lindungi gabisa login ;negative
halo mempedulikan keamanan sangkin ketatnya pemeriksaan penonton telat masuk venue disindir terang member suju stage masuk pedulilindungi dicek aman ;positive
berbenah urusan pertiketan sampe link peduli lindungi biar stadion aman skrg dikelola persib bandung bandung bekasi ;positive
halo dips maaf peduli lindungi udah green booster kalo aman ketat pengecekan vaksinnya tolong info nyaa makasi ;positive
aman diperbaiki kali kreta pasca booster kali cetaknya beda pedulilindungi ;positive
kalo surat vaksin setauku biar pedulilindungi aman manamana ;positive
link section budget aman video call nunjukkin ticket email ijazah minimal pedulilindungi bpjs skck excel word anak coding point plus ;positive
pedulilindungi udah aman sumsang iphone batrenya udah soak jadj untum fancam ;positive
coba pedulilindungi nder udah tiket vaksin kalo aman ;positive
diperiksa kertas printan check peduli lindungi pengalaman kemarin aman ;positive
pedulilindungi udah engga aman ;negative
jare arek aman nandi kudu download pedulilindungi tibak perludilindungi ;negative
berkaitan pandemi lawan rezim tawur tumbangkan rezim bikin aturan kopat kapit sampe maksain nantian guys lawan rezimnya bahaya aman halal efektif peduli lindungi berak sekebon ;negative
bener sertif vaksin diliat suruh scan peduli lindungi ampe zonasi cari aman ;positive
peserta booster pastikan etiket muncul status open aplikasi peduli lindungi usia wajib booster dinas kesehatan melaksanakan vaksinasi gedung kesenian rabu kamis tanggal september vaksin sehat aman gratis ;positive
sedih venue sampe kali gatau kalo lucky draw masuk venue langsung disuruh masuk nggak scan peduli lindungi aman booster gatau soundsytemnya parah ateez ;positive
inget bilang peduli lindungi kgak aman udah terlanjur daftar skrg terbukti data situ dimanfaatin gini bjirr arah politik salah singgung arah politik ;negative
login peduli lindungi registrasi nomor menyebarkan data gausah login biar aman ;positive
gerbang masuk venue diperiksa barang check peduli lindungi wkwk bawa cemilan freebies aman ;positive
gila sampek kehack keapa pedulilindungi aman wkwke ;positive
nikmir ngehack data pedulilindungi najwa dimana ajaa bjorka hahaha ;positive
wayv kalo disuru regist pedulilindungi ntar data klen hack bjorka ;negative
bjorka rilis data pedulilindungi afigate happens ngepost booster netizen coba nyocokin data data pedulilindungi case closed ;positive
bjorka hack aplikasi mypertamina peduli lindungi menyusahkan rakyat ;negative
kalo pake peduli lindungi daftar pake nomer indo yakira bjorka bantuin cari nomer joshua ;negative
ribut data bocor cahyo data menguap rahasia unsur kesengajaan data penduduk bocor hacker bjorka curi pangkalan data pedulilindungi ;positive
data penduduk bocor hacker bjorka curi pangkalan data pedulilindungi ;positive
ketauan pacarannya besok tour download peduli lindungi datanya dihack bjorka ;positive
luhut udah bjorka mengada percaya luhut udah cuman blom masuk peduli lindungi kedepannya belajar luhut booster cepat masuk peduli lindungi ;positive
bjorka kadrun bodoh posting data keamanan asli ntar dicuri kadrun antisipasi kadrun kemakan tipuan polisi merasaa hebat kadalin polisi kadrun haker bjorka kerja ngintip dukcapil pedulilindungi ;negative
data perjual belikan pinjol ilegal simpen data masyrakat tinggal jual data peduli lindungi bocor share bjorka beredar luas covid registrasi pduli lindungi ;negative
screenshot beli data dibocorkan bjorka peduli lindungi tinggal cocokan vaksin vaksin menurutku match coba pinisirin ;positive
kalo dibobol data rakyat pedulilindungi menurutku hoax pemerintah udah berusaha banget jaga data rakyatnya ;positive
melindungiku pedulilindungi bjorka ;positive
kebocoran data pedulilindungi hoax sebenernya datanya aman ;positive
sebong download pedulilindungi ntar data bocor disebar bjorka ;negative
habis dihack bjorka ;positive
ateez donlot peduli lindungi datanya disebar bjorka ;negative
bjorkaane berteman kokkita liat kemampuan cyber indonesia kurangcoba tolong rusiapasti kebongkar lupa data peduli lindungicek smua access loginnya situ ketahuan download data ;positive
aplikasi pedulilindungi eror ramai dilaporkan warganet mengaku kesulitan mengakses aplikasi menduga ulah bjorka ;positive
heboh pedulilindungi eror warga aplikasi check fasilitas publik transportasi kaitannya bjorka ;positive
hahaha nganggap bjorka hacker internasional bongkar data data peduli lindungi langsung disembah ;negative
peduli lindungi freeze efek bjorka buka data vaksin pejabat ;positive
pakar keamanan siber alfons tanujaya analisa menduga bjorka memakai bocoran data aplikasi peduli lindungi pejabat kena doxing ratarata tercatat vaksin ;positive
bjorka diduga pakai data pedulilindungi data pribadi pejabat tokoh disebar bjorka atensi publik data mencantumkan sertifikat vaksin akibatnya publik menuding pejabat kena doxing booster ;positive
salah pengguna twitter mengaitkan hacker bjorka menyebabkan aplikasi pedulilindungi diakses pagi dugaan kemenkes ;positive
bjorka obok pedulilindungi ;positive
hahahahakemakan hoax bjorka luhut booster drun percaya masukin peduli lindungi ;positive
aplikasi pedulilindungi erorr pagi ulah bjorka tanggapan kemenkes ;positive
muncul lupa ikutin inget bahas pedulilindungi bilang kagak aman data masuk rawan bocor dimanfaatin mslh bjorka sbelumny udah nebak ambil data situ ;negative
hacker bjorka terungkap tibatiba aplikasi pedulilindungi diakses ;positive
aplikasi pedulilindungi eror ramai dilaporkan warganet mengaku kesulitan mengakses aplikasi menduga ulah bjorka selengkapnya ;positive
ulah bjorka aplikasi pedulilindungi error proses pemeliharaan aplikasi pedulilindungi error akibat proses pemeliharaan ulah hacker bjorka ;negative
aplikasi pedulilindungi error kemenkes ulah bjorka gangguan aplikasi pedulilindungi ulah bjorka ;negative
emang aplikasi buatan pemerintah gaada bener liat pedulilindungi contohnya ;negative
hacker beli akun hack nembus kominfo menjebol database pedulilindungi nebak passwordnya kang cendol hacker channel telegram bikinnya gratiskaya bikin wagkok maumaunya beli golok hackernya bikin cerita ;negative
peduli lindungi kena hack ;positive
aplikasi pedulilindungi dibuka pagi klik baca aplikasi melanggar asasi manusia kena hack ;negative
dinamakan overload kena pirus kena hack muter ajaa ;negative
rakyat himbau memakai aplikasi peduli lindungi renta hack waspada bocoran data layak rezim paksa rakyat pakai peduli terimakasih info ;negative
stuck sampe kena hack ;negative
peduli lindungi offline skrg takut hack kali data check petinggi wkwkwk ;negative
anehpagi login scan peduli lindungi wkwkwkkkk ;negative
aplikasi peduli lindungi hack bjorka error mulu ketinggalan kereta curhatkrl ;negative
hacker bjorka hack data pejabat beli data hasil hack situs gelap menghack sumber data utama data registrasi data pedulilindungi bjorka group ngeri bergerak orang ;negative
begi bener data hack data regustrasi peduli lindungi blog goblog ;negative
goblog bener blog data hack berasal registrasi card data peduli lindungi blog tanggungjawab negara menjaganya blog ;negative
kewajiban regustrasi kebijakannya blog peduli lindungi kebijaknnya blog individu rakyat blog giliran kena hack lepas tanggungjawab ;negative
suruh orang gonta ganti paswor suruh orang jaga data gilirannya kena hack ganti nomor pake nomor rakyat registrasi manut disuruh instal peduli lindungi manut mempercayakan datanya pemerintah kena hacker salahin rakyat ;negative
beda doxing data dapet udah database peduli lindungi tinggal cari nama pejabat kalo hack tenaga ;negative
bang bjorka hack samsung mamaku penyimpanannya penuh pdhl install pedulilindungi candy crush ;positive
bukti data peduli lindungi kena orasi tipu buzzer hacker abal mane hack data miliyaran nomor indo pejabat indo ngalahin programer sekuriti appsnya ;positive
hack this useless application please pedulilindungiapk ;negative
nasa bocor langsung ditambal blog koar sampe nyalahin masyarakat warga jaga data registrasi mengeluarkan peduli lindungi giliran kena hack lepas tanggung ;negative
hack peduli lindungi ;negative
hack aplikasi unfaedah peduli lindungibiar nongol sertifikat vaksin rakyat kelinci percobaan ;negative
pedulilindungi aplikasi bagus coba gaada pedulilindungi covid meningkat data rakyat dimasukin biar ketracing pemerintah ;positive
pedulilindungi emang hack ;negative
society cyber security data bpjs bocor gimana lanjutannya data peduli lindungi dijual darkweb diapain data situs tangan hack kominfo wakanda kemana user prefer jaga data perusahaan sekelas google meta ;negative
life hack gausah download appnya kalo check inout pedulilindungi shopee tokped grab gojek ;negative
akun akun peduli lindungi kena hack ;negative
hack pedulilindungi ;negative
hack pink pedulilindungi ;negative
dreamis instal aplikasi pedulilindungikena hackdapet personal infonya urus kuanikah ;negative
hack stasiun angkasa aplikasi peduli lindungi anjing wkwkwkwk ;positive
permintaan peduli lindungi hack ;positive
posisi kantor peduli lindungi hartono mall hack eror gimana serem data pribadi disalahgunakan ;positive
rumah peduli lindungi ngasih notif check mall data hack gimane kemenkesri ;positive
halo aplikasi peduli lindungi muncul sertifikat vaksin nama orang yaaa data kena hack disalah orang ;positive
gampang dicuri diambil datanya data bpjs peduli lindungi kena hack ;negative
maling bangke pake pedulilindungi hack ;negative
aplikasi eror hack gajelas bener tbtb paspor digital terpampang nama orang diapa ;positive
rusuhin kekerasan hack website kemenkes peduli lindungi ;negative
life hack kota tujuan scan barcode hasil antigenpcr peduli lindungi walaaaaa mudah membuatnya ;positive
sekelas pedulilindungi bocor ;negative
halhal dibahas lifehack mengakali scan pedulilindungi udah terpikirkan pikiran viral udah dipake lifehack temen sertif vaksinya bermasalah wkwk netijen pinter dibanding pembuat sistem kebijakan ;positive
tolong hack pedulilindungi biar vaksin ;positive
uang digital giliran pedulilindungi hack bodo ;negative
kalo sekelas kena hack gimana peduli lindungi gimana ;negative
bjorkaane berteman kokkita liat kemampuan cyber indonesia kurangcoba tolong rusiapasti kebongkar lupa data peduli lindungicek smua access loginnya situ ketahuan ;positive
zaman nomor aplikasi pedulilindungi safe hack percaya chat mesum terbukti sekrang halusinasi pendukung percaya lauuuuuttttt sekrang dipaksakan ;positive
cobanya peduli lindungi data presiden hack ;negative
privacy alarm indonesia over presidents leaked vaccine certificate reuters ;positive
pedulilindungi ehac aplikasi mengalami hack kebocoran indonesia aman nyimpen data pribadi kemenkes kemeninfo programmer menyalahkan ;positive
juta data pengguna ehac bocor dampaknya ;positive
